X,Y,OBJECTID,LATITUDE,LONGITUDE,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,GIS_LAST_MOD_DTTM,GIS_ID,REGION_NAME
-77.0446022983091,38.9154077898826,28467902,38.9154,-77.0446,20th St & Florida Ave NW,classic,46,active,2021/11/01 11:00:06+00,13,0,2,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0222022908545,38.9155077900928,28467903,38.9155,-77.0222,7th & T St NW,classic,47,active,2021/11/01 10:15:10+00,14,0,0,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0534142977735,38.8543887766858,28467904,38.854381,-77.053412,Eads St & 22nd St S,classic,48,active,2021/11/01 09:54:50+00,3,0,11,3,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"CREDITCARD,KEY",41,2021/11/01 11:17:48+00,,"Arlington, VA"
-77.0037022828834,38.876307783066,28467905,38.8763,-77.0037,M St & New Jersey Ave SE,classic,49,active,2021/11/01 10:46:23+00,7,0,8,1,2,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,17,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0444022976075,38.9101077881762,28467906,38.9101,-77.0444,Massachusetts Ave & Dupont Circle NW,classic,51,active,2021/11/01 11:13:23+00,2,0,41,0,2,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,45,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0054852852958,38.9057047895082,28467907,38.905697,-77.005483,1st & M St NE,classic,52,active,2021/11/01 11:10:44+00,4,0,11,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0473202986222,38.9057187878528,28467908,38.905711,-77.047318,New Hampshire Ave & Ward Pl NW,classic,53,active,2021/11/01 11:15:43+00,5,0,14,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0386322952254,38.9027677877434,28467909,38.90276,-77.03863,17th & K St NW,classic,54,active,2021/11/01 11:09:18+00,6,0,16,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,23,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0152912877122,38.8994157874736,28467910,38.899408,-77.015289,3rd & H St NW,classic,55,active,2021/11/01 10:56:53+00,10,0,5,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0023022837883,38.8851077855465,28467911,38.8851,-77.0023,3rd & D St SE,classic,56,active,2021/11/01 10:51:27+00,10,0,1,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-76.9862022781927,38.8803077848106,28467912,38.8803,-76.9862,Potomac & Pennsylvania Ave SE,classic,57,active,2021/11/01 11:00:36+00,11,0,3,1,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-76.987909278635,38.8829227851608,28467913,38.882915,-76.987907,13th & E St SE,classic,58,active,2021/11/01 11:12:40+00,5,0,9,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0387022958547,38.9121077892895,28467914,38.9121,-77.0387,17th & Corcoran St NW,classic,59,active,2021/11/01 11:14:37+00,15,0,3,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0638983064667,38.9445587943649,28467915,38.944551,-77.063896,Van Ness Metro / UDC,classic,60,active,2021/11/01 09:55:37+00,14,0,1,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0135022882186,38.9126077906828,28467916,38.9126,-77.0135,Florida Ave & R St NW,classic,61,active,2021/11/01 10:08:00+00,14,0,0,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-76.995302281281,38.8792077841484,28467917,38.8792,-76.9953,8th & Eye St SE / Barracks Row,classic,62,active,2021/11/01 10:25:12+00,4,0,6,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0871733129286,38.9387437925591,28467918,38.938736,-77.087171,Ward Circle / American University,classic,63,active,2021/11/01 09:28:46+00,13,0,1,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0727573078429,38.9348887926769,28467919,38.934881,-77.072755,Wisconsin Ave & Newark St NW,classic,64,active,2021/11/01 09:34:09+00,18,0,1,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0328202971405,38.9477817965734,28467920,38.947774,-77.032818,14th St Heights / 14th & Crittenden St NW,classic,65,active,2021/11/01 10:22:12+00,8,0,3,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
