State,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an unknown manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Unknown Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Unknown Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Unknown,Count People Primary Unknown Booster Pfizer,Count People Primary Unknown Booster Moderna,Count People Primary Unknown Booster J&J,Count People Primary Unknown Booster Unknown,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Unknown,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Unknown,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Unknown,Percent People Primary Unknown Booster Pfizer,Percent People Primary Unknown Booster Moderna,Percent People Primary Unknown Booster J&J,Percent People Primary Unknown Booster Uknown
Missouri,8696155,141691,182430,6937238,113032,6538608,137169,3519135,57.3,3304354,69.3,3073465,50.1,2892759,60.7,4852035,3422920,363900,57300,217524,2471446,4245263,3005,1081070,1775249,216613,533,1080662,1595299,216371,427,2871671,57.3,3304354,69.3,46.8,2691184,56.5,3519135,957270,90.1,858155,80.8,389662,430216,38107,170,2091464,196929,818818,3517911,67.2,3073390,58.7,1081057,1775211,216589,533,6935965,132474,166093,426845,13.9,426405,14.7,356470,21.7,270006,31.5,121473,302499,2823,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mississippi,4225625,141983,185532,3030894,101839,2855939,125394,1559824,52.4,1462758,64.2,1369586,46,1290805,56.7,2214285,1756540,193600,61200,76569,1233513,1718839,1973,543189,750022,75835,540,542885,671651,75748,521,1296732,52.4,1462758,64.2,43.6,1218034,53.5,1559824,421248,86.6,390535,80.2,199396,174057,16823,259,900895,185105,868232,1559580,61.9,1369503,54.3,543178,749963,75822,540,3030590,120194,167589,154052,11.2,153796,11.9,133858,17.4,98227,25.2,61935,91138,783,196,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Montana,1546615,144709,184079,1225383,114653,1159976,138061,613508,57.4,578246,68.8,543478,50.9,514108,61.2,777915,649700,91700,27300,50857,514623,658562,1341,221589,272830,48722,337,221477,243625,48675,331,498143,57.4,578246,68.8,46.6,468814,55.8,613508,186176,90.2,170495,82.6,81723,79138,9458,176,412452,199796,749195,613342,66.8,543427,59.2,221570,272804,48716,337,1225156,133518,168550,99122,18.2,98995,19.3,82045,27.1,61765,36.2,34740,63259,959,164,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
North Carolina,16624290,158506,203048,12672715,120830,11890242,145227,6866375,65.5,6439371,78.7,5579160,53.2,5233049,63.9,9064950,6440440,800900,318000,439219,4673034,7556951,3511,2010242,3141279,427522,117,2007343,2799467,426130,109,5166302,65.5,6439371,78.7,49.3,4821576,58.9,6866375,1849740,99.9,1443597,82.4,692825,702338,48385,49,3578940,204383,949366,6855376,76.3,5574084,62,2010184,3136281,427503,116,12656609,140856,185012,486714,8.7,486341,9.3,388856,13.6,274690,19,156692,325230,4777,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
North Dakota,1080390,141772,185669,833932,109431,789987,135762,423822,55.6,400051,68.8,365140,47.9,345851,59.4,592590,421800,47400,18600,33925,325129,473983,895,137075,195262,32796,7,136875,176314,32655,7,334121,55.6,400051,68.8,43.8,314968,54.1,423822,113194,94.5,97368,81.2,46519,46698,4151,0,245366,204736,901489,422628,66.3,364764,57.2,137070,194894,32793,7,832306,130610,169540,62099,17,62054,17.9,49958,26.9,36674,37.7,21292,40334,471,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nebraska,2934560,151703,201227,2388949,123498,2229037,152848,1187006,61.4,1102642,75.6,1093174,56.5,1018212,69.8,1649940,1090420,131200,63000,82271,871755,1429641,5282,392544,618042,81234,1354,392387,543370,81160,1295,1018266,61.4,1102642,75.6,52.6,943373,64.7,1187006,294334,94.2,278721,89.2,135452,135846,6584,839,684095,218940,939185,1186524,73.4,1093076,67.6,392520,617988,81216,1352,2388370,147667,181436,163914,15,163727,16.1,131524,24.4,99891,35.8,44077,118740,999,98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
New Hampshire,2435370,179109,220504,1966626,144636,1838184,166433,1069547,78.7,1008890,91.3,860830,63.3,810596,73.4,1331190,935780,142900,25500,96792,746356,1123409,69,327863,460247,72654,66,327606,410330,72598,62,789115,78.7,1008890,91.3,58,738936,66.9,1069547,326478,99.9,227820,89.7,95552,117349,14886,33,556418,219180,959321,1068626,89.2,860594,71.8,327758,460142,72628,66,1965484,163986,203190,23951,2.8,23920,3,19687,4.2,14315,6.3,6117,17666,161,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
New Jersey,15647575,176168,225352,12604415,141907,11704421,168564,6735119,75.8,6245730,89.9,5929982,66.8,5509225,79.3,8668395,5947980,766300,264900,467787,4805556,7327754,3318,2156685,3307510,465571,216,2156070,2887690,465264,201,5492438,75.8,6245730,89.9,61.8,5071974,73,6735119,1476478,99.9,1300524,88.1,605524,607680,87257,63,3036745,205806,1060470,6728029,88.3,5929741,77.8,2156649,3307387,465489,216,12597182,165353,205393,721776,12.2,720840,13.1,585593,20.6,400199,30.8,264514,447999,9256,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
New Mexico,3361245,160301,207357,2897650,138192,2695526,166289,1528799,72.9,1411527,87.1,1310545,62.5,1212117,74.8,1774065,1356980,164800,65400,99902,1177135,1614420,6193,516609,693330,98908,1698,516224,595453,98765,1675,1217385,72.9,1411527,87.1,58.1,1119090,69,1528799,384689,99.9,335376,88.8,156121,158436,19936,883,799748,211794,890146,1527697,85.5,1310454,73.3,516589,693271,98896,1698,2896543,162051,188049,215886,16.5,215628,17.8,169245,25.9,114613,34.2,57912,156853,1089,32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nevada,4481390,145492,187701,3718609,120728,3488440,146112,1970484,64,1841631,77.1,1644160,53.4,1545981,64.8,2602170,1597920,223400,57900,161100,1299496,2257321,692,565947,920861,157309,43,565847,822828,157265,41,1492718,64,1841631,77.1,48.5,1394582,58.4,1970484,457173,92.2,393915,79.4,183056,186231,24603,25,958173,193191,903557,1970191,75.1,1644119,62.7,565943,920828,157305,43,3718361,141825,170928,180031,10.9,179911,11.6,151009,18.9,113662,28.9,57863,120615,1553,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
